candidate,party,constituency_count
THANKA.KATHIRAVAN,All India Anna Dravida Munnetra Kazhagam,1
THANNASIAPPAN. P,Independent,1
THANUNEELAN . S,Independent,1
THARAHAI CUTHBERT,Indian National Congress,1
THARMA PRABU V S,Independent,1
THARUN. A.K,Dravida Munnetra Kazhagam,1
THASTHAKEER I,Independent,1
THAVAMANI. C.,Tamizhaga Vaazhvurimai Katchi,1
THENMOZHI DILIPKUMAR,Naam Tamilar Katchi,1
THENMOZHI. R,Naam Tamilar Katchi,1
THENMOZHI.S,All India Anna Dravida Munnetra Kazhagam,1
THENNARASU.K,Tamilaga Vettri Kazhagam,1
THENNARASU P,Independent,1
THENRAL KUMAR. E,Tamilaga Vettri Kazhagam,1
THIAGARAJAN. O. V,Independent,1
THILAGARAJ.K,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
THILAGARAJ.N,Independent,1
THILAGAVATHI. S,Tamilaga Vettri Kazhagam,1
THIMOTHY. T,Independent,1
THIRUGNANAM. K,Independent,1
THIRUGNANAM. M,Independent,1
THIRUKKUMARAN P,Makkal Munnetra Katchi,1
THIRUMALAISAMY. B,Independent,1
THIRUMALVALAVAN.T,Tamizhaga Vaazhvurimai Katchi,1
THIRUMARAN. K.C,Bharatiya Janata Party,1
THIRUMOORTHY. A,Independent,1
THIRUMURUGAN. A,Independent,1
THIRUMURUGAN. K,Independent,1
THIRUMURUGAN. P.,Naadaalum Makkal Katchi,1
THIRUPATHI. C,Independent,1
THIRUPATHI. M.,Independent,1
THIRUPATHI. N,Independent,1
THIRUPATHI. S,Independent,1
THIRUVENDRAN. V,Independent,1
THIRUVENGATESH.M,Tamizhaga Vaazhvurimai Katchi,1
THIVASKAR. B,Independent,1
THIYAGARAJAN .M,Puthiya Tamilagam,1
THIYAGARAJAN. M,Independent,1
THIYAGARAJAN.M,Independent,1
THIYAGARAJAN R,Samaniya Makkal Nala Katchi,1
THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,Dravida Munnetra Kazhagam,1
THOZHAR.N.ARUNKUMAR,Tamizhaga Vaazhvurimai Katchi,1
THULASIMANI. P,Independent,1
THULASI SUDALAI,Puthiya Makkal Tamil Desam Katchi,1
T.J.GOVINDARAJAN,Dravida Munnetra Kazhagam,1
T  KANNAN,Tamizhaga Vaazhvurimai Katchi,1
T.KATHIRAVAN,Independent,1
T. KAVIYARASU,Independent,1
T.KRISHNASWAMY,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,1
T. LINGADURAI,Independent,1
T. MAGIZHAN,Independent,1
T. MAGIZHANBAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
T. MAHESHKUMAR,Bahujan Samaj Party,1
T.M.ANBARASAN,Dravida Munnetra Kazhagam,1
T  MARIKUMAR,Independent,1
T.M.PURATCHI MANI,Bahujan Samaj Party,1
T M  TAMILSELVAM,All India Anna Dravida Munnetra Kazhagam,1
T. MURALIDHARAN,Independent,1
T.MURUGANANTHAM,Independent,1
T. MURUGESAN,Independent,1
T.NATARAJ,Independent,1
T. NITHYANANTHAM,Independent,1
T. PARIVALLAL,Dravida Munnetra Kazhagam,1
T.POOVARASAN,Bahujan Samaj Party,1
T. PREM BALAJI,Independent,1
T. RAJAMANICKAM,Puthiya Tamilagam,1
T.RAJENDRAN,Independent,1
T. RAJESH,Independent,1
T. RAJKUMAR,Independent,1
T.R.SHANMUGASUNDARAM,Independent,1
T. SANKAR,Independent,1
T.SELVARAJ,Independent,1
T S HABEEB MOHAMMAD,Independent,1
T.THIRUMARAN,Independent,1
T. VIJAYAKUMAR,Independent,1
T VIJAYARAJ,Independent,1
U ARAVIND,Independent,1
UDAIYAPPAN. M,Independent,1
UDHAYAKUMAR. M,Tamilaga Vettri Kazhagam,1
UDHAYAKUMAR. N,Independent,1
UDHAYAKUMAR R,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
UDHAYAKUMAR.R.B,All India Anna Dravida Munnetra Kazhagam,1
UDHAYANIDHI STALIN,Dravida Munnetra Kazhagam,1
UDHAYASURIYAN T,Dravida Munnetra Kazhagam,1
UDHAYASURIYAN. T,Independent,1
UDHUMAN ALI. M.S,Independent,1
UKKRA PANDIAN. S.,Independent,1
UMADEVI. A,Naam Tamilar Katchi,1
UMADEVI. P,Naam Tamilar Katchi,1
UMADEVI. S,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
UMA PARAMASIVAM,Independent,1
UMAR ALI D.,Independent,1
UMAR ALI. R,Independent,1
UNIESH RAJ. M,Independent,1
USHARANI. P,All India Anna Dravida Munnetra Kazhagam,1
U.UTHAYAKUMAR,Independent,1
UVARANI SURESH,Naam Tamilar Katchi,1
U.VIJAYA KUMAR,Independent,1
VADIVEL K,Independent,1
VADIVEL RAVANAN. S,Pattali Makkal Katchi,1
VAIDESSWARA PRASAD. N,Independent,1
VAIKUNDAMANI. N,Tamizhaga Vaazhvurimai Katchi,1
VAIRAM PILLAI S,Independent,1
VAIRAMUTHU D.,Independent,1
VAIRAMUTHU.PK,All India Anna Dravida Munnetra Kazhagam,1
VAITHILINGAM G.,Pattali Makkal Katchi,1
VALARMATHI.B,All India Anna Dravida Munnetra Kazhagam,1
VALARMATHI.E,Independent,1
VALARMATHI. P,Independent,1
VALARMATHI. P,Samaniya Makkal Nala Katchi,1
VALARMATHY.D,Independent,1
VALLABADAS.E,Tamizhaga Vaazhvurimai Katchi,1
VALLARASAN. K.,Independent,1
VALLIMAYIL P,Communist Party of India (Marxist-Leninist) Red Star,1
V.ANANDKUMAR,Independent,1
VANATHI SRINIVASAN,Bharatiya Janata Party,1
V.ANBARASAN,Independent,1
VANITHA. K.M,Independent,1
VANJINATHAN. C,Tamizhaga Vaazhvurimai Katchi,1
VANNI ARASU,Viduthalai Chiruthaigal Katchi,1
VARATHARAJAN.A,Naam Indiar Party,1
VARATHARAJAN. S.P,Independent,1
VARATHARAJ. G.,Independent,1
VASANTHAKUMAR S,Independent,1
VASANTHAMANI. K,Independent,1
VASANTHAVEL G R,Dravida Munnetra Kazhagam,1
VASANTH FERNANDO. T,Independent,1
VASANTHI,Independent,1
VASANTHI MURUGESAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
VASANTHI. R,Independent,1
V. A. SUDHAKAR,Independent,1
VAYKKALDURAI. K,Puthiya Tamilagam,1
V.BALAMURUGAN,Independent,1
V. BHAGATH SINGH,Independent,1
V. CHANDRAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
V.CHINNASAMY,Independent,1
V. DESAPPAN,Samata Party,1
V. DHANALAKSHMI,Tamizhaga Vaazhvurimai Katchi,1
V. DHARMENDIRAN,Independent,1
VEDAPRAKASH. A,Independent,1
VEDHA MUKUNDHAN,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
VEERABAGHU. M.,Independent,1
VEERAIYA. C,Tamizhaga Vaazhvurimai Katchi,1
VEERAKUMAR. V,Independent,1
VEERAMANI.B,Naam Tamilar Katchi,1
VEERAMANI H,Independent,1
VEERAMANIKANDAN. V,Independent,1
VEERAMANI K.C.,All India Anna Dravida Munnetra Kazhagam,1
VEERAMANI. M,Independent,1
VEERAMANI V,Tamilaga Vettri Kazhagam,1
VEERAN.K,Independent,1
VEERAPANDI.V,Independent,1
VEERAPPAN. M.,Independent,1
VEERAPPA. T,Independent,1
VEERARAJ. R,Independent,1
VEERASAMY. T,Independent,1
VELAYUTHAM. P.,Independent,1
VELLADURAI A,Independent,1
VELLAIPANDI. V,Bahujan Samaj Party,1
VELLAISAMY.P,Ahimsa Socialist Party,1
VELMANIKANDAN. S,Independent,1
VELMURUGAN G,Independent,1
VELMURUGAN. S,Puthiya Tamilagam,1
VELRAJ.K,Independent,1
VELRAJ .S,Tamizhaga Vaazhvurimai Katchi,1
VELU. A,Vada Tamil Nadu Munnetra Katchi,1
VELU. DHA,Dravida Munnetra Kazhagam,1
VELU. E.V,Dravida Munnetra Kazhagam,1
VELU. KARTHIKEYAN,Amma Makkal Munnettra Kazagam,1
VELU.S,Independent,1
VELU. V,Anti Corruption Dynamic Party,1
VENDARKARASAN.S,Tamilaga Vettri Kazhagam,1
VENGATESHSAN. T,Tamizhaga Vaazhvurimai Katchi,1
VENGATESWARAN.B,Independent,1
VENKADASAMY. K,Independent,1
VENKADEASAN. K,Thamizhaka Padaippalar Makkal Katchi,1
VENKATACHALAM. C,Independent,1
VENKATACHALAM. G,Independent,1
VENKATACHALAM. G,All India Anna Dravida Munnetra Kazhagam,1
VENKATACHALAM PARAMASIVAM,Independent,1
VENKATACHALAPATHY. A,Bahujan Samaj Party,1
VENKATAJALAPATHI R.,Independent,1
VENKATARAMANAN. J,Tamizhaga Vaazhvurimai Katchi,1
VENKATARAMANAN. P,Tamilaga Vettri Kazhagam,1
VENKATARAMAN. B,Independent,1
VENKATASALAM. G,Independent,1
VENKATESAN.A,Dravida Munnetra Kazhagam,1
VENKATESAN. D,Independent,1
VENKATESAN G,Independent,1
VENKATESAN. K,Bahujan Samaj Party,1
VENKATESAN. K,Independent,1
VENKATESAN L,Desiya Murpokku Dravida Kazhagam,1
VENKATESAN M,Independent,1
VENKATESAN. P,Independent,1
VENKATESAN. P.S,Independent,1
VENKATESAN. R,All India Anna Dravida Munnetra Kazhagam,1
VENKATESAN. S,Independent,1
VENKATESAN.S,Independent,1
VENKATESAN. V,Anaithindia Samudaya Munnetra Kazhagam,1
VENKATESH (A) DR. V.K. SWAMY,Bharat Jan Chikitsa Party,1
VENKATESH. K,Independent,1
VENKATESH KUMAR. D,Tamilaga Vettri Kazhagam,1
VENKATESH P,Independent,1
VENKATESH. P,Independent,1
VENKATESH PERUMAL. S,Independent,1
VENKATESHRAJA.E,Independent,1
VENKATESH V,Independent,1
VENKATRAMAN J,Naadaalum Makkal Katchi,1
VENNILA.T,Naam Tamilar Katchi,1
VETRISELVI,Naam Tamilar Katchi,1
VETRIVEL K,Independent,1
VETRIVEL KANNA. P,Independent,1
VETRIVEL. M,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
VETRIVEL. S,All India Anna Dravida Munnetra Kazhagam,1
VETRI VEL SELVAM,Bahujan Samaj Party,1
VEZHAVENTHAN D.,Independent,1
V.GANDHI,Vanchit Bahujan Aaghadi,1
V. GANDHIRAJ,Tamilaga Vettri Kazhagam,1
V. GANESAN,Independent,1
V.GEORGE,Independent,1
V.G. RAAJENDRAN,Dravida Munnetra Kazhagam,1
V.HEMACHANDIRAN,Independent,1
VIBIN CHAKKARAVARTHY,Tamilaga Vettri Kazhagam,1
VIDHYA VEERAPPAN,Naam Tamilar Katchi,1
VIDIYAL S. SEKAR,Bharatiya Janata Party,1
VIDJAIVIKRAM S,Naam Tamilar Katchi,1
VIGIRDHAN,Independent,1
VIGNESH. A,Independent,1
VIGNESH G,Independent,1
VIGNESH K,Tamilaga Vettri Kazhagam,1
VIGNESHKUMAR S,Naam Tamilar Katchi,1
VIGNESH NANDAGOPAL,Independent,1
VIGNESH R,Independent,1
VIGNESH. R,Independent,1
VIGNESH. S,Naam Tamilar Katchi,1
VIGNESHWARAN. D,Independent,1
VIJAIA MOHANAAJI .MA,Vidial Valarchi Perani,1
VIJAI VADIVEL A,Tamilaga Vettri Kazhagam,1
VIJAY,All India Jananayaka Makkal Kazhagam,1
VIJAY .A,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
VIJAY. A,Independent,1
VIJAYA BABU,Tamizhaga Vaazhvurimai Katchi,1
VIJAYABASKAR. C,All India Anna Dravida Munnetra Kazhagam,1
VIJAYA BASKAR. R.V,Independent,1
VIJAYA D,Independent,1
VIJAYADHARANI S,Bharatiya Janata Party,1
VIJAYAGANTH K,Independent,1
VIJAYA K,Independent,1
VIJAYA.K,Independent,1
VIJAYA KRISHNA. V,Independent,1
VIJAYAKUMAR,Independent,1
VIJAYAKUMAR A,Independent,1
VIJAYAKUMAR (A) NAVALPATTU S. VIJI,Tamilaga Vettri Kazhagam,1
VIJAYA KUMAR. B,Independent,1
VIJAYAKUMAR C,Independent,1
VIJAYAKUMAR. C,Independent,1
VIJAYAKUMAR  D,Independent,1
VIJAYAKUMAR. G,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
VIJAYAKUMAR. M,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,1
VIJAYAKUMAR. M,Independent,1
VIJAYAKUMAR S,Independent,1
VIJAYAKUMAR S,Puthiya Tamilagam,1
VIJAYAKUMAR. S,Independent,1
VIJAYAKUMAR. S,Naadaalum Makkal Katchi,1
VIJAYAKUMAR  S.R,All India Anna Dravida Munnetra Kazhagam,1
VIJAYALAIYAN. J,Tamilaga Vettri Kazhagam,1
VIJAYALAKSHMI. P,Independent,1
VIJAYA M,Independent,1
VIJAYAMOORTHI E,Independent,1
VIJAYAN. K,Independent,1
VIJAYAPANDIYAN.M,Independent,1
VIJAYAPRABHAKAR,Desiya Murpokku Dravida Kazhagam,1
VIJAYARAJ.R,Independent,1
VIJAYASURESHBABU,All India Anna Dravida Munnetra Kazhagam,1
VIJAY.D,Independent,1
VIJAY. G,Independent,1
VIJAY J,Independent,1
VIJAY .K,All India Jananayaka Makkal Kazhagam,1
VIJAY. M,Tamilaga Vettri Kazhagam,1
VIJAY NIRANJAN A,Tamilaga Vettri Kazhagam,1
VIJAY R BARANIBALAAJI,Tamilaga Vettri Kazhagam,1
VIJAY.S,Tamilaga Vettri Kazhagam,1
VIJAY SURYABHALAAJI K R,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
VIJAY TAMILAN PARTHIBAN. A,Tamilaga Vettri Kazhagam,1
VIJAY VENKATESH.M,Tamilaga Vettri Kazhagam,1
VIJIYAL,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
VIKRAMAN N,Desa Makkal Munnetrak Kazhagam,1
VILKRISHNAN. R.,Independent,1
VILWANATHAN. A.C.,Dravida Munnetra Kazhagam,1
VIMALA.A,Bahujan Samaj Party,1
VIMALA R.,Naam Tamilar Katchi,1
VIMALRAJ. R,Makkal Munnetra Katchi,1
VIMALRAJ. S,Independent,1
VINAYAGAMOORTHY M,Bahujan Samaj Party,1
VINAYAGAMOORTHY.R,Independent,1
VINCENTRAJ. A,Independent,1
VINEETH. B,Independent,1
VINOTH,Tamilaga Vettri Kazhagam,1
VINOTH. A,Independent,1
VINOTHINI.R,Naam Tamilar Katchi,1
VINOTH. J,All India Anna Dravida Munnetra Kazhagam,1
VINOTHKUMAR. M,Independent,1
VINOTHKUMAR.  N,Independent,1
VINOTH KUMAR R,Independent,1
VINOTH R,Thakkam Katchi,1
VINOTH S,Independent,1
VINOTH. S,Independent,1
VINOTHSAVARIREMIJEAS C.,Independent,1
VINU PRADHA. A,Independent,1
VIRUGAI V.N.RAVI,All India Anna Dravida Munnetra Kazhagam,1
VISHWANATHAN. S,Independent,1
VISITHRA. S,Bahujan Samaj Party,1
VISWANATHAN. J,Independent,1
VISWANATHAN.M,Independent,1
VISWANATHAN P,Independent,1
VISWANATHAN. S.A,Independent,1
VIVEK. T,Independent,1
VIYANARASU. A,Tamizhaga Vaazhvurimai Katchi,1
V JAGADEESAN,Independent,1
V. KAMALA KANNAN,Independent,1
V. KANDHAN,Independent,1
V.KANNADASSAN,Independent,1
V. KARTHIKEYAN,Independent,1
V.K.RAMKUMAR,Tamilaga Vettri Kazhagam,1
V. KRISHNAN,Independent,1
V. KULANDHAIVELU,Independent,1
V. LINGARAJA,Independent,1
V. MADHAN MOHAN,Independent,1
V M CHANDIRAN,Independent,1
V.M. KARTHIKEYAN,Bharatiya Janata Party,1
V.MOHANRAJ,Independent,1
V.MUNIRATHINAM,Independent,1
V.MURTHY,Independent,1
V. MUTHURAJA,Dravida Munnetra Kazhagam,1
V. MUTHUSAMY,Independent,1
V. NARESH,Tamizhaga Vaazhvurimai Katchi,1
V. NARESH BABU,Independent,1
V . PALANI,Bahujan Samaj Party,1
V.PANDI,Independent,1
V. PAULPANDIAN,Independent,1
V.P.DURAI,Indian National Congress,1
V.P.KANDASAMY,All India Anna Dravida Munnetra Kazhagam,1
V.P.TAMILSELVI,Tamilaga Vettri Kazhagam,1
V.PUSHPANANTHAM,Tamizhaga Murpokku Makkal Katchi,1
V. RAJI,Independent,1
V. RAMAKRISHNAN,Independent,1
V. RAMKUMAR,India Suyarajya Party,1
V. RAMU,All India Anna Dravida Munnetra Kazhagam,1
V.R. JAYAKUMAR,Independent,1
V.SADHASIVAM,Independent,1
V. SAMPATHKUMAR,Tamilaga Vettri Kazhagam,1
V.SARAVANAN,Tamilaga Vettri Kazhagam,1
V.SATHYABAMA,Tamilaga Vettri Kazhagam,1
V. S. BABU,Tamilaga Vettri Kazhagam,1
V.SEETHARAMAN,Anti Corruption Dynamic Party,1
V SENTHILBALAJI,Dravida Munnetra Kazhagam,1
V. SENTHILKUMAR,Independent,1
V. SENTHILKUMAR,Tamilaga Vettri Kazhagam,1
V.SENTHIL KUMAR,Independent,1
V.SHANKAR,Independent,1
V.SHANTHI,Independent,1
V. SOMASUNDARAM,All India Anna Dravida Munnetra Kazhagam,1
V. SOMASUNDARAM,Independent,1
V.SRINIDHI,Indian National Congress,1
V. SUGANTHI,Independent,1
V. SURESH,Independent,1
V.S.VENKATESH,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
V THIRUNAVUKKARASU,Naam Tamilar Katchi,1
V. THIYAGARAJAN,Independent,1
V. VELMURUGAN,Independent,1
V.VENKATESAN,All India Anna Dravida Munnetra Kazhagam,1
V. VENU,Puthiya Tamilagam,1
V.VINOTHKANNA,Tamizhaga Vaazhvurimai Katchi,1
WAZEER AHMED. J,Bahujan Samaj Party,1
W JAYSON,Independent,1
YEASURAJA M,Independent,1
YESADURAI S.,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
YESURAJ. I,Independent,1
Y.G.MAHALAKSHMI,Naam Tamilar Katchi,1
YOGAPRAKASH. B,Independent,1
YOONUS ALI. R,Independent,1
YUVARAJ.K.P.U,Independent,1
YUVARAJ S,Independent,1
ZIAUDEEN A J,Independent,1
